depth,age,d18Og.rub,d18Osmow,mgca,SST,,lat,lon,depth,species,clean_method,,omega,omega_inv_sq,,s_annual,pH,Age
604,203200,-1.54,0.35,2.63,24.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.91870278,8.111923757,203.2
609,205000,-1.02,0.85,2.6,24.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.95609777,8.108790197,205
614,208700,-1.48,0.51,2.74,24.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.88678783,8.127281537,208.7
619,212300,-1.54,0.47,2.77,24.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.84302008,8.104139989,212.3
624,216000,-2.03,0.19,3.02,25.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.81319529,8.114452567,216
629,217500,-1.7,0.59,3.12,26.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.84361027,8.099541684,217.5
634,219000,-1.69,0.65,3.18,26.4,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.89813352,8.114365636,219
639,220500,-1.35,0.87,3.03,25.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.14408473,8.143079221,220.5
644,222000,-1.47,0.58,2.82,25.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.25078752,8.153370674,222
649,223500,-1.04,0.77,2.53,23.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.23349732,8.160481142,223.5
654,225000,-0.77,1.02,2.52,23.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.22959823,8.164664176,225
659,226500,-1.28,0.4,2.4,23.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.28571947,8.159664218,226.5
664,228000,-0.93,1.12,2.82,25.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.24040061,8.122392341,228
669,230500,-1.07,0.81,2.62,24.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.18653786,8.13061503,230.5
674,233000,-0.79,1.14,2.67,24.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.09963944,8.113124906,233
679,235500,-1.92,0.08,2.75,24.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.89120892,8.109126605,235.5
684,238000,-2.2,0.1,3.14,26.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.77669731,8.112278533,238
