corename,latitude,longitude,wdepth,sdepth,mgca,clean,size_lower,size_upper,omega,pH,t_annual,s_annual,t_seasonal,s_seasonal,grid_lat,grid_lon,include,species,reference1,reference2,reference_link1,reference_link2,omega_inv_sq,clean_method
KNR158-4 MC36b,52.4318,-22.0955,4056,0.75,1.08,1,255,355,1.11824894,8.136591911,12.03010941,35.28050995,12.03011664,35.28051949,52.5,-22.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.799692476,reductive
KNR158-4 MC36c,52.4318,-22.0955,4056,0.75,1.04,1,255,355,1.11824894,8.136591911,12.03010941,35.28050995,12.03011664,35.28051949,52.5,-22.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.799692476,reductive
KNR158-4 MC36e,52.4318,-22.0955,4056,0.75,1.02,1,150,255,1.11824894,8.136591911,12.03010941,35.28050995,12.03011664,35.28051949,52.5,-22.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.799692476,reductive
KNR158-4 MC36f,52.4318,-22.0955,4056,0.75,1.04,1,150,255,1.11824894,8.136591911,12.03010941,35.28050995,12.03011664,35.28051949,52.5,-22.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.799692476,reductive
KNR158-4 MC36j,52.4318,-22.0955,4056,0.75,1.03,1,150,255,1.11824894,8.136591911,12.03010941,35.28050995,12.03011664,35.28051949,52.5,-22.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.799692476,reductive
KNR158-4 MC45a,52.9762,-19.8272,2739,0.75,1.02,1,255,355,1.526432395,8.119040489,12.36360931,35.38399887,12.36362338,35.38400841,52.5,-19.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.429185313,reductive
KNR158-4 MC45b,52.9762,-19.8272,2739,0.75,1.14,1,255,355,1.526432395,8.119040489,12.36360931,35.38399887,12.36362338,35.38400841,52.5,-19.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.429185313,reductive
KNR158-4 MC45c,52.9762,-19.8272,2739,0.75,1.11,1,255,355,1.526432395,8.119040489,12.36360931,35.38399887,12.36362338,35.38400841,52.5,-19.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.429185313,reductive
KNR158-4 MC45f,52.9762,-19.8272,2739,0.75,1.05,1,150,255,1.526432395,8.119040489,12.36360931,35.38399887,12.36362338,35.38400841,52.5,-19.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.429185313,reductive
KNR158-4 MC45g,52.9762,-19.8272,2739,0.75,1.05,1,150,255,1.526432395,8.119040489,12.36360931,35.38399887,12.36362338,35.38400841,52.5,-19.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.429185313,reductive
